source_file,frame_no,timestamp_epoch,tx,rx,bssid,frame_protocols,type_subtype_hex,phase,ap_identity,ssid,rsn_present,akm_suites,pairwise_cipher,pmf_capable,pmf_required,auth_alg,assoc_status_code,has_eapol,eapol_msg_num,eapol_replay_counter
track3_filtered_baseline_authorized_only.pcapng,1,1781520173.392099000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,2,1781520173.597885000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,3,1781520173.698942000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,4,1781520174.313490000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,5,1781520174.520187000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,6,1781520174.927604000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,7,1781520175.237890000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,8,1781520175.267703000,32:0a:af:e3:81:b2,d6:35:1d:9f:89:fc,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x000a,other,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,9,1781520175.440046000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_baseline_authorized_only.pcapng,10,1781520176.464309000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
